date,list,ticker,name,price,score,flags
2026-07-05,momentum,6742.KL,YTL POWER INTERNATIONAL BHD,4.4100,5,TRMVRH ✔TV
2026-07-05,momentum,5326.KL,99 SPEED MART RETAIL HOLDINGS BERHAD,3.7000,5,TRMVRH ✔TV
2026-07-05,momentum,5337.KL,ECO-SHOP MARKETING BERHAD,1.4300,5,TRMVRH ✔TV
2026-07-05,momentum,4731.KL,SCIENTEX BERHAD,3.7500,5,TRMVRH
2026-07-05,momentum,0196.KL,QES GROUP BERHAD,0.5450,5,TRMVRH ✔TV
2026-07-05,momentum,6459.KL,MNRB HOLDINGS BERHAD,2.7900,5,TRMVRH ✔TV
2026-07-05,momentum,0366.KL,ICENTS GROUP HOLDINGS BERHAD,0.5700,5,TRMVRH ✔TV
2026-07-05,momentum,5292.KL,UWC BERHAD,6.4000,4,TRMRH ✔TV
2026-07-05,momentum,4456.KL,DAGANG NEXCHANGE BERHAD,0.4450,4,TRMRH ✔TV
2026-07-05,momentum,5296.KL,MR D.I.Y. GROUP (M) BERHAD,1.6700,4,TRMRH
2026-07-05,momentum,0225.KL,SOUTHERN CABLE GROUP BERHAD,2.4100,4,TRMRH ✔TV
2026-07-05,momentum,7233.KL,DUFU TECHNOLOGY CORP. BERHAD,2.4200,4,TRMRH ✔TV
2026-07-05,momentum,4197.KL,SIME DARBY BERHAD,2.1800,4,TRMRH
2026-07-05,momentum,5323.KL,JOHOR PLANTATIONS GROUP BERHAD,1.8000,4,TRMRH ✔TV
2026-07-05,momentum,0245.KL,MN HOLDINGS BERHAD,2.9200,4,TRMRH ✔TV
2026-07-05,momentum,2089.KL,UNITED PLANTATIONS BERHAD,33.1200,4,TRMRH ✔TV
2026-07-05,momentum,2445.KL,KUALA LUMPUR KEPONG BERHAD,21.7000,4,TRMRH ✔TV
2026-07-05,momentum,9822.KL,SAM ENGINEERING & EQUIPMENT (M) BERHAD,5.0800,4,TRMRH ✔TV
2026-07-05,momentum,0325.KL,NORTHEAST GROUP BERHAD,1.1500,4,TRMRH ✔TV
2026-07-05,momentum,0291.KL,CRITICAL HOLDINGS BERHAD,1.6300,4,TMVRH ✔TV
2026-07-05,momentum,0392.KL,KEE MING GROUP BERHAD,1.7600,4,TRMRH ✔TV
2026-07-05,momentum,0167.KL,MCLEAN TECHNOLOGIES BERHAD,0.7800,4,TRMRH ✔TV
2026-07-05,momentum,5248.KL,BERMAZ AUTO BERHAD,1.0500,4,TRMRH ✔TV
2026-07-05,momentum,7103.KL,SPRITZER BHD,2.9000,4,TRMRH ✔TV
2026-07-05,momentum,7161.KL,KERJAYA PROSPEK GROUP BERHAD,2.4400,4,TRMRH ✔TV
2026-07-05,momentum,5161.KL,JCY INTERNATIONAL BERHAD,0.3900,4,TRMRH ✔TV
2026-07-05,momentum,7163.KL,PJBUMI BERHAD,3.7700,4,TRVRH ✔TV
2026-07-05,momentum,0223.KL,SAMAIDEN GROUP BERHAD,1.4000,4,TRMRH ✔TV
